Obs_No,Date,Time,Location,Spread,Observer,Category,Description,Severity,Immediate_Action,Corrective_Action,Status,Close_Date
OBS-2025-001,2025-06-02,08:30,Spread A - CH 1+200,Spread A,S. Menon,PPE Compliance,Positive Observation: Crew CW-01 fully equipped with mandatory cut-level 5 gloves and chin-strapped hard hats during bevel prep,Low,Commended crew during morning briefing,Share best practice across Spreads,Closed,2025-06-02
OBS-2025-002,2025-06-03,10:15,Spread A - CH 3+400,Spread A,J. Torres,Excavation Safety,Unsafe Condition: Excavation spoil pile placed less than 0.6m from trench lip with loose boulders,Medium,Work halted; mini-excavator moved spoil bank to >1.0m from trench edge,Toolbox talk conducted on OSHA trench spoil standoff distances,Closed,2025-06-04
OBS-2025-003,2025-06-04,14:20,Spread B - CH 14+100,Spread B,P. Vance,Hot Work,Unsafe Act: Welder helper grinding without secondary eye protection (face shield) over safety glasses,Medium,Stopped grinding immediately; face shield provided before work resumed,Helper issued formal safety warning and refresher on eye protection policy,Closed,2025-06-05
OBS-2025-004,2025-06-05,11:45,PS-1 Foundation F-02,PS-1,K. Bhatt,Working at Height,Unsafe Condition: Rebar cage access ladder not tied off at top rung and footing on uneven gravel,High,Tied ladder to scaffolding structure and secured timber footing,Replaced portable ladder with engineered scaffolding access tower,Closed,2025-06-06
OBS-2025-005,2025-06-06,16:00,Spread A - CH 5+100,Spread A,S. Menon,Lifting Operations,Near-Miss: Tag line snapped on 24in pipe section during lowering into bending machine; pipe swung 1.5m towards operator booth,High,Suspended lift; cleared swing radius,Replaced all synthetic tag lines with certified braided ropes; updated daily rigging checklist,Closed,2025-06-07
OBS-2025-006,2025-06-08,09:10,Spread A - CH 4+800,Spread A,R. Iyer,Traffic Management,Positive Observation: Dedicated banksman wearing high-vis LED vest actively guiding tipper trucks at narrow ROW junction,Low,Noted good traffic control compliance,Awarded safety voucher to traffic marshall,Closed,2025-06-08
OBS-2025-007,2025-06-09,13:30,Spread A - CH 5+400,Spread A,K. Bhatt,Hot Work,Unsafe Condition: Fire extinguisher at welding rig CW-02 showed pressure gauge in recharge zone and inspection tag expired,Medium,Replaced fire extinguisher immediately from mobile safety store,Site-wide audit of all mobile welding rig fire extinguishers completed,Closed,2025-06-10
OBS-2025-008,2025-06-10,15:45,River Crossing CH 8+400,Spread A,A. Fernandes,Environmental,Unsafe Condition: Secondary containment berm for HDD mud recycling centrifuge had minor oil sheen and torn liner,Medium,Berm pumped out into waste drum and heavy-duty poly liner replaced,Instituted daily secondary containment inspection log for HDD site,Closed,2025-06-11
OBS-2025-009,2025-06-11,08:00,Spread B - CH 16+200,Spread B,J. Torres,Housekeeping,Unsafe Act: Discarded welding rod stubs (E6010/E8010) scattered on ROW instead of stub buckets,Low,Instructed welders to gather stubs into metal containers,Fitted dedicated stub holders on all welding tractors,Closed,2025-06-12
OBS-2025-010,2025-06-12,11:20,Spread A - CH 2+900,Spread A,S. Menon,Lifting Operations,Positive Observation: Rigging crew conducted thorough pre-lift 10-point check and load test on sideboom wire ropes,Low,Complimented rigging supervisor D. Craig,Recorded as positive benchmark in weekly HSE bulletin,Closed,2025-06-12
OBS-2025-011,2025-06-14,14:10,Spread B - CH 18+500,Spread B,P. Vance,Working at Height,Unsafe Act: Worker standing on top step of stepladder while adjusting pipe alignment clamp,Medium,Worker instructed to step down; stable rolling work platform provided,Re-briefed crew on 3-point contact and step ladder safety rules,Closed,2025-06-15
OBS-2025-012,2025-06-15,16:30,Spread A - CH 7+200,Spread A,M. Al-Mansoor,Excavation Safety,Near-Miss: Trench benching collapsed 20m ahead of pipe-laying crew following heavy rain; no personnel in trench,High,Immediate exclusion zone set up 15m either side; work halted,Geotechnical inspection completed; trench slope angle reduced from 1:1 to 1.5:1,Closed,2025-06-17
OBS-2025-013,2025-06-16,07:45,Pipe Yard - Main Depot,Spread A,R. Iyer,Traffic Management,Unsafe Condition: Blind spot mirror at main pipe storage yard entrance broken; restricted visibility for articulated pipe haulers,Medium,Installed temporary spotter at junction,Installed new convex safety mirror and speed bump,Closed,2025-06-18
OBS-2025-014,2025-06-17,10:00,Spread B - CH 13+800,Spread B,J. Torres,Housekeeping,Positive Observation: Stringing crew maintaining immaculate ROW access path with segregated trash cans and trip hazard markers,Low,Acknowledged crew lead at midday toolbox,Featured in contractor monthly HSE recognition,Closed,2025-06-17
OBS-2025-015,2025-06-18,13:50,PS-1 Compressor Bay,PS-1,K. Bhatt,Environmental,Positive Observation: Drip trays deployed beneath all stationary diesel generators and dewatering pumps with spill kits nearby,Low,Documented compliance for client environmental audit,Maintained standard across all auxiliary plant,Closed,2025-06-18
OBS-2025-016,2025-06-19,15:15,Spread A - CH 6+300,Spread A,S. Menon,PPE Compliance,Unsafe Act: Subcontractor mechanic working on hydraulic line without safety goggles and chemical-resistant gloves,Low,Stopped task; appropriate nitrile gloves and chemical splash goggles issued,Toolbox session on chemical handling and SDS awareness,Closed,2025-06-20
OBS-2025-017,2025-06-20,11:05,Spread B - CH 20+100,Spread B,P. Vance,Traffic Management,Near-Miss: Light utility vehicle overtook water tanker on narrow ROW single-lane track without radio call-in,High,Vehicle stopped; driver cautioned on radio protocol,Radio protocol re-briefed to all vehicle drivers; speed limiter check enforced,Closed,2025-06-21
OBS-2025-018,2025-06-22,09:40,Spread A - CH 8+100,Spread A,A. Fernandes,Hot Work,Positive Observation: Welder habitat equipped with spark containment blankets and dual fume extraction fans in good working order,Low,Verified airflow and spark suppression,Shared setup template with Spread B welding foremen,Closed,2025-06-22
OBS-2025-019,2025-06-23,16:40,Spread B - CH 22+400,Spread B,M. Al-Mansoor,Excavation Safety,Unsafe Condition: Missing edge protection barrier and red flashing warning lamps around 2.4m deep bell hole excavation,Medium,Erected physical barricade net with warning tape and solar flashing lights,Daily excavation sign-off sheet updated to include nocturnal barrier verification,Closed,2025-06-24
OBS-2025-020,2025-06-24,08:30,Spread A - CH 3+800,Spread A,J. Torres,Lifting Operations,Unsafe Act: Rigger walked directly under suspended 12m pipe spool while signaling crane operator,High,Crane operator sounded horn; rigger evacuated load shadow immediately,Rigger stood down for retraining on exclusion zones; lift plan re-briefed,Closed,2025-06-25
OBS-2025-021,2025-06-25,14:15,PS-1 Valve Pit Area,PS-1,K. Bhatt,Excavation Safety,Positive Observation: Excellent benching profile and certified aluminum trench shields in place for high-pressure tie-in pit,Low,Commended Delta Civil earthworks supervisor,Captured photos for project safety training module,Closed,2025-06-25
