NCR_No,Date,Discipline,Location,Chainage,Description,Status,Severity,Action,Raised_By,Assigned_To,Target_Close_Date,Actual_Close_Date,Root_Cause,Corrective_Action
NCR-2025-011,2025-06-09,Welding,Spread A,5+400,Root pass porosity exceeding API 1104 acceptance on 6 joints (W-4A-0062 to 0067),Open,High,Repair procedure issued; re-radiography pending,K. Bhatt,S. Menon,2025-06-25,,Contaminated shielding gas batch and excessive wind during welding,Purge gas lines; replace shielding gas cylinders; erect wind shelters around joint tents; execute grind-out repair per approved repair WPS-API1104-03
NCR-2025-012,2025-06-14,Coating,Spread A,3+200,Field joint coating holiday test failures at 11 joints (CH 3+180 to 3+250),Open,Medium,Re-coating scheduled,K. Bhatt,Ridgeline QA,2025-06-30,,Insufficient pipe surface profile (Sa 2.0 vs Sa 2.5) and inadequate pre-heat temperature (<200C) prior to shrink sleeve application,Strip defective heat shrink sleeves; re-blast surface to Sa 2.5 profile (75-100 microns); pre-heat with induction coil to 210C; reapply Covalence sleeves; re-test at 15kV holiday voltage
NCR-2025-013,2025-06-18,Civil,PS-1,-,Foundation concrete cube strength below 28-day specified value (26.4 MPa vs 35 MPa required on foundation F-03),Open,High,Core testing ordered; structural review in progress,K. Bhatt,Delta Civil Co,2025-07-15,,High water-cement ratio batch delivery from ready-mix batching plant,Take 6 core samples for compressive strength testing per ASTM C42; perform structural load reassessment; batch plant QA audit initiated; reject non-compliant batch supplier
NCR-2025-014,2025-06-21,NDT,Spread A,7+100,Radiography backlog exceeding 10 working days against procedure limit (11.5 days backlog),Open,High,Second RT crew requested from subcontractor,K. Bhatt,Apex Pipeline Services,2025-07-08,,Shortage of certified Level II radiographers and darkroom processing unit equipment breakdown,Mobilise second RT night crew with mobile darkroom truck; prioritise mainline welds on critical path; expedite backlog clearance
NCR-2025-015,2025-06-24,HDD,River Crossing,8+400,Drilling fluid loss and partial hole collapse during 36-inch reaming pass,Open,Critical,Reaming suspended; geotechnical reassessment underway,A. Fernandes,Apex Pipeline Services,2025-07-22,,Uncharted unconsolidated gravel lens and fractured shale stratum at depth 18m,Suspend reaming; pump LCM (lost circulation material) bentonite-polymer pill; drill geotechnical boreholes at offset; revise mud rheology and drill path profile
NCR-2025-016,2025-05-28,Trenching,Spread B,15+600,Trench depth below specified minimum cover in rocky section (1.1m vs 1.5m required),Closed,Low,Re-excavated and verified,K. Bhatt,Delta Civil Co,2025-06-05,2025-06-04,Rock breaker encountered hard basalt layer; machine operator failed to verify depth against survey benchmark,Deploy hydraulic breaker to deepen rock trench to 1.7m; verify with optical survey; place 150mm sand bedding prior to pipe lowering
NCR-2025-017,2025-06-26,Coating,Spread B,13+200,3LPE field joint peel adhesion test failure (<0.3 MPa at 23C vs 0.5 MPa required per ISO 21809-3),Under Investigation,Medium,Laboratory testing of liquid epoxy primer adhesion underway,M. Taylor,Ridgeline QA,2025-07-12,,Suspected expired liquid epoxy primer component B activator or moisture condensation on steel surface,Quarantine primer lot B-8821; send sample to metallurgical lab; heat induction cycle time extended to eliminate surface moisture before primer application
NCR-2025-018,2025-06-28,Civil,Spread A,2+100,Trench backfill compaction below specification (Modified Proctor density measured 88% vs 95% minimum at road crossing),Open,Medium,Excavation and re-compaction in 200mm layers instructed,K. Bhatt,Delta Civil Co,2025-07-06,,Backfill placed in 600mm loose lifts without adequate mechanical vibratory compaction,Excavate backfill to top of padding; place selected fill in 200mm lifts; compact using trench roller to achieve 95% Modified Proctor density; re-test with nuclear density gauge
NCR-2025-019,2025-06-12,Welding,Spread A,9+150,Internal high-low alignment mismatch measured 3.8mm exceeding API 1104 3.0mm max tolerance on joint W-4A-0104,Closed,Low,Joint cut out and re-beveled; fit-up re-inspected,K. Bhatt,S. Menon,2025-06-16,2025-06-15,Pipe end out-of-roundness caused by handling dent at bevel,Cut out defective pipe pup; use internal pneumatic line-up clamp with hydraulic shoe reform; verify high-low mismatch <=1.6mm around circumference
NCR-2025-020,2025-06-15,Mechanical,PS-1,-,RTJ Octagonal Ring Gasket (Soft Iron) scored and damaged during pre-assembly on 24-inch Class 600 MOV-101 inlet flange,Closed,Medium,Flange face inspected; gasket replaced with new certified spare; torque verified,M. Taylor,Ridgeline QA,2025-06-19,2025-06-18,Improper handling and misalignment during manual crane lift into valve skid,Perform dye penetrant test on flange RTJ groove (accepted); replace damaged gasket with new serialized stock; tighten flange bolts in cross-pattern torque sequence per ASME PCC-1
NCR-2025-021,2025-06-22,CP,Spread A,4+800,Cathodic protection test post TP-04 instant-off potential reading -0.76V CSE failing NACE SP0169 -0.85V polarization criterion,Under Investigation,Medium,CP specialist investigating stray current interference and anode cable connection,K. Bhatt,Apex Pipeline Services,2025-07-10,,High soil resistivity zone and loose mechanical crimp lug on magnesium sacrificial anode lead,Inspect anode lead junction box; re-crimp and solder cable terminal; install supplementary deep anode groundbed if soil resistivity survey confirms high resistance
NCR-2025-022,2025-06-23,Material,Main Yard,-,Mill Test Certificate for 24-inch line pipe Heat No. H44821 missing transverse Charpy V-notch impact energy at -20C,Open,High,Pipes from Heat H44821 quarantined; supplier requested for revised 3.1 MTC from mill,K. Bhatt,Ridgeline QA,2025-07-05,,Mill test data transcription error on vendor transmittal VT-2025-0619,Issue formal hold on 48 pipe joints from Heat H44821; expedite revised EN 10204 3.1 certificate with Charpy test values from Tenaris mill
