PTW_No,Date_Issued,Valid_Until,Type,Location,Chainage,Description,Issued_To,Authorized_By,Status,Closed_Date,Comments
PTW-2025-0101,2025-06-01,2025-06-01,Hot Work,Spread A - Mainline,1+200,Mainline welding of 24in pipe joints J-010 to J-018,Apex Pipeline Services (CW-02),R. Iyer,Closed,2025-06-01,Welding completed without incident; fire watch signed off
PTW-2025-0102,2025-06-01,2025-06-03,Excavation,Spread A - Trench,3+000 to 4+500,Open cut trench excavation 2.2m depth in clay/silt soil,Delta Civil Co (CW-05),S. Menon,Closed,2025-06-03,Trench excavated and sloped; daily safety sign-off completed
PTW-2025-0103,2025-06-02,2025-06-02,Radiography,Spread A - Mainline,0+800 to 1+500,Gamma radiography Ir-192 inspection of 15 mainline weld joints,Ridgeline Constructors (CW-04),K. Bhatt,Closed,2025-06-02,Night shift NDT; 50m exclusion zone enforced; source safely returned
PTW-2025-0104,2025-06-03,2025-06-04,Lifting,Spread A - Pipe Yard,0+000,Tandem lift offloading of 24in pipe spools using 50T mobile cranes,Apex Pipeline Services (CW-01),R. Iyer,Closed,2025-06-04,Engineered lift plan executed; wind speed within 20 knot limit
PTW-2025-0105,2025-06-04,2025-06-05,Confined Space,Spread A - Bell Hole,5+400,Tie-in weld pit entry and joint fit-up in 2.8m deep excavated bell hole,Apex Pipeline Services (CW-02),J. Torres,Closed,2025-06-05,Continuous 4-gas monitoring maintained; rescue harness on standby
PTW-2025-0106,2025-06-06,2025-06-07,Hot Work,Spread A - Mainline,5+400,Root pass repair and re-welding on NCR-2025-011 joints,Apex Pipeline Services (CW-02),R. Iyer,Closed,2025-06-07,Welds completed per WPS-04 repair procedure; awaiting RT
PTW-2025-0107,2025-06-08,2025-06-08,Radiography,Spread A - Mainline,5+300 to 5+500,Radiographic re-examination of repaired welds at CH 5+400,Ridgeline Constructors (CW-04),K. Bhatt,Closed,2025-06-08,NDT clearance verified; NCR closure pending client sign-off
PTW-2025-0108,2025-06-09,2025-06-11,Excavation,Spread B - ROW,13+000 to 14+500,Mechanical trenching in weathered sandstone,Delta Civil Co (CW-05),S. Menon,Closed,2025-06-11,Rock ripping completed; trench profile verified by civil surveyor
PTW-2025-0109,2025-06-10,2025-06-12,Lifting,River Crossing,8+400,Rigging and positioning 36in reamer assembly for HDD rig,Apex Pipeline Services (HDD Crew),A. Fernandes,Closed,2025-06-12,Heavy reamer mounted safely onto drill string
PTW-2025-0110,2025-06-12,2025-06-13,Electrical Isolation,PS-1 Substation,PS-1,Lockout/Tagout (LOTO) for high-voltage switchgear panel termination,Delta Civil Co (CW-06),J. Torres,Closed,2025-06-13,11kV busbar de-energized tested dead and earthed
PTW-2025-0111,2025-06-14,2025-06-15,Hot Work,Spread B - Mainline,15+200,Pipeline mainline welding joints J-140 to J-152,Ridgeline Constructors (CW-03),R. Iyer,Closed,2025-06-15,Daily welding quota completed; no hot work anomalies
