MRR_No,Date_Received,PO_Number,Supplier,Material_Description,Specification,Heat_No,Quantity,Unit,Condition,Certificate_Received,Storage_Location,Inspected_By,Status,Comments
MRR-2025-001,2025-05-02,PO-TR4-0101,Tenaris,Line Pipe 24in OD x 11.9mm WT 3LPE,API 5L X65 PSL2,H38912,120,Joints,Good,Yes,Main Yard Stockpile A,K. Bhatt,Accepted,Bevels protected with end caps; coating DFT average 3.2mm
MRR-2025-005,2025-05-08,PO-TR4-0101,Tenaris,Line Pipe 24in OD x 11.9mm WT 3LPE,API 5L X65 PSL2,H39014,140,Joints,Good,Yes,Main Yard Stockpile A,K. Bhatt,Accepted,Visual inspection and bevel dimensional check compliant
MRR-2025-009,2025-05-14,PO-TR4-0102,Jindal SAW,Line Pipe Heavy Wall 24in OD x 15.9mm WT 3LPE,API 5L X65 PSL2,H41205,80,Joints,Good,Yes,Main Yard Stockpile B,K. Bhatt,Accepted,Heavy wall pipe allocated for road crossings and HDD entry/exit strings
MRR-2025-012,2025-05-20,PO-TR4-0105,Lincoln Electric,SMAW Electrodes 4.0mm E6010 Cellulosic,AWS A5.1 / API 1104,E-88210,500,kg,Good,Yes,Consumable Store (Climate Controlled),K. Bhatt,Accepted,Hermetically sealed vacuum cans; moisture content batch certificate verified
MRR-2025-014,2025-05-22,PO-TR4-0105,Lincoln Electric,SMAW Electrodes 4.0mm E8010-P1 High-Yield,AWS A5.5 / API 1104,E-89344,1200,kg,Good,Yes,Consumable Store (Climate Controlled),K. Bhatt,Accepted,Hot and fill pass consumables for X65 pipe welding
MRR-2025-018,2025-05-29,PO-TR4-0103,Bohler Welding,GMAW Solid Wire 1.0mm ER70S-6,AWS A5.18,BW-55201,800,kg,Good,Yes,Consumable Store (Climate Controlled),K. Bhatt,Accepted,Spools sealed in polythene with desiccant; root pass automated welding wire
MRR-2025-021,2025-06-03,PO-TR4-0108,Canusa-CPS,Heat Shrinkable Sleeves 24in GTS-PP/65,ISO 21809-3 / EN 12068,CS-2025-04,350,Kits,Good,Yes,Chemical Store,K. Bhatt,Accepted,Complete kits with closure patches and two-part liquid epoxy primer
MRR-2025-024,2025-06-06,PO-TR4-0112,Cameron (Schlumberger),24in Class 600 Full Bore Ball Valve Flanged,API 6D / ASME B16.34,V-600-441,2,Units,Good,Yes,PS-1 Warehouse,M. Taylor,Accepted,Factory hydrostatic body test 153 bar & seat leakage test certificates 3.2 verified
MRR-2025-027,2025-06-09,PO-TR4-0114,Welspun Corp,Induction Bends 24in 5D R=3050mm 15.9mm WT,API 5L X65 / ISO 15590-1,IB-7712,12,Units,Good,Yes,Main Yard Stockpile B,K. Bhatt,Accepted,Radius and tangential end lengths checked; wall thinning within 2.5% allowance
MRR-2025-030,2025-06-11,PO-TR4-0116,WFI International,WNRF Flanges 24in Class 600 RTJ,ASTM A694 F65 / ASME B16.5,FL-9912,8,Units,Good,Yes,PS-1 Warehouse,K. Bhatt,Accepted,Ring groove surface finish Ra 1.6um; dimensions verified
MRR-2025-033,2025-06-15,PO-TR4-0118,Taylor Forge,Equal Tees 24in x 24in Class 600 WPHY-65,MSS-SP-75,TF-4421,4,Units,Minor Scratches,Yes,PS-1 Warehouse,M. Taylor,Accepted with Deviation,Minor surface scratch on exterior bevel face blended per MSS-SP-75; UT thickness verified
MRR-2025-036,2025-06-17,PO-TR4-0120,Tata Steel,Deformed Reinforcing Steel Bars Gr 60 (25mm),ASTM A615 / A615M,TS-3390,45,Tons,Good,Yes,PS-1 Laydown Yard,D. Evans,Accepted,MTC physical tensile & yield ratio verified for PS-1 foundation slabs
MRR-2025-039,2025-06-19,PO-TR4-0101,Tenaris,Line Pipe 24in OD x 11.9mm WT 3LPE,API 5L X65 PSL2,H44821,48,Joints,Good,Incomplete,Main Yard Quarantine Zone,K. Bhatt,Quarantine / On Hold,Transmittal VT-2025-0619 received without Charpy impact test values at -20C; NCR-2025-022 raised
MRR-2025-040,2025-06-19,PO-TR4-0101,Tenaris,Line Pipe 24in OD x 11.9mm WT 3LPE,API 5L X65 PSL2,H44822,52,Joints,Good,Yes,Main Yard Stockpile A,K. Bhatt,Accepted,Coating certificates received via VT-2025-0619; MTC 3.1 verified complete
MRR-2025-043,2025-06-21,PO-TR4-0125,Flexitallic,RTJ Ring Joint Gaskets Octagonal Soft Iron R-77,ASME B16.20,FLX-1108,24,Units,Damaged Packaging,Yes,PS-1 Warehouse,K. Bhatt,Accepted with Deviation,1 gasket found scored (allocated to NCR-2025-020); remaining 23 gaskets inspected & accepted
MRR-2025-046,2025-06-23,PO-TR4-0128,Delta Ready-Mix,Ready Mix Concrete Grade C35/45 for Foundation F-03,ASTM C94 / BS 8500,Batch 0623-1,72,m3,Good,Yes,PS-1 Site Pour,D. Evans,Accepted with Deviation,Pour accepted on site; 28-day cube strength later failed per NCR-2025-013
MRR-2025-049,2025-06-25,PO-TR4-0130,Corrocoat,Two-Pack Liquid Epoxy Primer Component A & B,ISO 21809-3,Lot B-8821,60,Liters,Good,Yes,Chemical Store Quarantine,M. Taylor,Quarantine / On Hold,Quarantined following peel test adhesion failure on Spread B CH 13+200 (NCR-2025-017)
