Weld_No,Date,Spread,Chainage,Welder_ID,Crew,Procedure,Joint_Type,NDT_Method,NDT_Result,Repair_Required,Status
W-4A-0001,2025-06-16,Spread A,7+900,WLD-110,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0002,2025-06-27,Spread A,3+700,WLD-119,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0003,2025-06-19,Spread A,4+400,WLD-137,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0004,2025-06-19,Spread A,3+100,WLD-111,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0005,2025-06-07,Spread A,3+300,WLD-129,CW-03,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0006,2025-06-24,Spread A,4+200,WLD-118,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0007,2025-06-27,Spread A,6+000,WLD-122,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0008,2025-06-27,Spread A,6+300,WLD-129,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0009,2025-06-29,Spread A,6+800,WLD-113,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0010,2025-06-16,Spread A,9+700,WLD-113,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0011,2025-06-25,Spread A,6+400,WLD-134,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0012,2025-06-16,Spread A,10+500,WLD-117,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0013,2025-06-09,Spread A,1+800,WLD-120,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0014,2025-06-11,Spread A,7+100,WLD-138,CW-02,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0015,2025-06-04,Spread A,6+100,WLD-124,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0016,2025-06-15,Spread A,0+000,WLD-103,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0017,2025-06-03,Spread A,11+700,WLD-140,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0018,2025-06-20,Spread A,11+500,WLD-140,CW-03,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4A-0019,2025-06-10,Spread A,11+300,WLD-140,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0020,2025-06-14,Spread A,2+800,WLD-114,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0021,2025-06-17,Spread A,8+000,WLD-117,CW-02,WPS-API1104-02,Butt,RT,Reject,Yes,Repair Pending
W-4A-0022,2025-06-19,Spread A,2+700,WLD-105,CW-03,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0023,2025-06-14,Spread A,4+600,WLD-119,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0024,2025-06-16,Spread A,8+800,WLD-107,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0025,2025-06-12,Spread A,8+400,WLD-133,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0026,2025-06-06,Spread A,11+200,WLD-139,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0027,2025-06-11,Spread A,3+700,WLD-135,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0028,2025-06-25,Spread A,3+100,WLD-137,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0029,2025-06-07,Spread A,0+500,WLD-136,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0030,2025-06-09,Spread A,6+400,WLD-108,CW-03,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0031,2025-06-17,Spread A,0+700,WLD-108,CW-01,WPS-API1104-02,Butt,RT,Accept,No,Accepted
W-4A-0032,2025-06-03,Spread A,0+800,WLD-117,CW-02,WPS-API1104-02,Butt,RT,Accept,No,Accepted
