TBT_No,Date,Topic,Presenter,Crew,Location,Attendees_Count,Duration_min,Key_Points,Follow_Up_Required
TBT-2025-001,2025-06-01,Pipe handling and vacuum lifter safety,S. Menon,CW-01,Spread A - Pipe Yard,18,15,Vacuum seal integrity check; minimum 3m exclusion zone during offloading; no riding loads,No
TBT-2025-002,2025-06-02,Excavation safety and trench shoring,J. Torres,CW-02,Spread A - CH 2+400,14,20,Daily trench inspection before entry; spoil pile 1m standoff; ladders every 15m; soil type B benching,Yes - Replace damaged trench ladder
TBT-2025-003,2025-06-03,Heat stress awareness and hydration protocol,P. Vance,CW-03,Spread A - CH 4+200,16,15,Heat index alert levels; mandatory 15min water breaks every hour above 35C; urine color chart posted,No
TBT-2025-004,2025-06-04,Welding fume extraction and respiratory protection,K. Bhatt,CW-02,Spread A - CH 5+400,12,15,Proper placement of local exhaust ventilation hood; PAPR maintenance; cartridge replacement cycle,Yes - Restock P100 organic vapor cartridges
TBT-2025-005,2025-06-05,Sideboom blind spots and crane operation safety,D. Craig,CW-01,Spread A - CH 3+100,15,20,360-degree swing radius demarcation; standard hand signals; radio comms check; prohibited tail-swing zones,No
TBT-2025-006,2025-06-06,Radiography exclusion zones and radiation safety,M. Al-Mansoor,CW-04,Spread B - CH 14+200,10,25,Gamma source Ir-192 handling; boundary calculation for 2.5 uSv/h limit; flashing beacon deployment,Yes - Audit radiation boundary survey meters
TBT-2025-007,2025-06-08,Manual handling and back injury prevention,S. Menon,CW-05,Spread B - CH 16+000,19,15,Maximum 20kg solo lift limit; kinetic lifting technique; team lifting coordination for heavy skids,No
TBT-2025-008,2025-06-09,Snake and wildlife awareness on ROW,P. Vance,CW-06,Spread B - CH 18+800,22,15,Viper identification; checking boots/gloves before donning; antivenom protocol at field clinic,Yes - Restock snake gaiters in field store
TBT-2025-009,2025-06-10,Rigging and slinging inspection,D. Craig,CW-01,Spread A - CH 6+500,16,20,Daily sling inspection (cuts, burns, kinks); rejection criteria for web slings; shackle pin locking,Yes - Quarantine two frayed nylon slings
TBT-2025-010,2025-06-11,HDD drilling fluid handling and containment,A. Fernandes,HDD Crew,River Crossing CH 8+400,14,20,Bentonite mud mixing safety; SDS for polymer additives; secondary containment sump maintenance,No
TBT-2025-011,2025-06-12,Working in confined spaces and bell holes,J. Torres,CW-02,Spread A - CH 7+800,11,25,4-gas atmospheric testing (O2, H2S, CO, LEL); entry permits; continuous forced air ventilation,Yes - Calibrate multi-gas detector unit 03
TBT-2025-012,2025-06-14,Grinding wheel safety and spark control,K. Bhatt,CW-07,Spread A - CH 5+600,13,15,Grinding wheel RPM rating vs machine RPM; ring test before mounting; face shields and leather sleeves,No
TBT-2025-013,2025-06-15,Environmental spill response and fueling protocol,P. Vance,CW-05,Spread B - CH 17+500,17,15,Hydrocarbon spill kit deployment; drip trays under static plant; immediate reporting to HSE within 15min,Yes - Replenish absorbent pads in Spill Kit 4
TBT-2025-014,2025-06-16,Safe driving and vehicle rules on ROW tracks,S. Menon,CW-06,Spread B - CH 12+500,24,20,30 km/h speed limit on ROW; positive radio communication on single-lane passes; seatbelts mandatory,No
TBT-2025-015,2025-06-17,Hand injury prevention and pinch point awareness,J. Torres,CW-03,Spread A - CH 8+200,15,15,High-dexterity impact gloves; tag line usage during pipe line-up; pinch points on internal clamps,No
TBT-2025-016,2025-06-18,Working near overhead electrical powerlines,R. Iyer,Civil Crew,PS-1 Access Road,18,20,6m minimum clearance distance for heavy machinery; goalpost height restrictors; banksman control,Yes - Re-erect warning goalpost at CH 0+450
TBT-2025-017,2025-06-20,Fire prevention and hot work permits,K. Bhatt,CW-02,Spread A - CH 9+100,14,15,30-minute post-weld fire watch; clear vegetation within 10m; dry chemical fire extinguishers readiness,No
TBT-2025-018,2025-06-22,Emergency evacuation drill and muster points,J. Torres,All Crews,Spread A Base Camp,28,25,Alarm signals; designated muster stations; headcount roll-call procedure; emergency response team roles,Yes - Update muster point signage at Yard B
TBT-2025-019,2025-06-24,Field joint coating safety and induction heating,S. Menon,CW-01,Spread A - CH 10+500,12,15,High-voltage holiday detector spark safety; induction coil burn hazards; epoxy vapour PPE,No
TBT-2025-020,2025-06-26,Night shift lighting and fatigue management,M. Al-Mansoor,CW-04,Spread B - CH 20+400,11,20,Minimum 100 lux lighting at weld station; glare avoidance for oncoming plant; hydration and shift rotation,Yes - Reposition mobile light tower 02
TBT-2025-021,2025-06-28,Trench dewatering and mud slurry handling,P. Vance,CW-05,Spread B - CH 22+100,16,15,Sedimentation basin routing; electrical grounding on submersible pumps; avoiding erosion of trench base,No
TBT-2025-022,2025-07-02,Barricading and signage at river crossing HDD,A. Fernandes,HDD Crew,River Crossing CH 8+400,15,15,Public access exclusion fence; danger signs along riverbank; life rings and throw lines stationed,Yes - Replace weathered warning sign at north bank
TBT-2025-023,2025-07-06,Hydrotest preparation and exclusion zone safety,R. Iyer,CW-03,PS-1 Hydrotest Manifold,20,25,High-pressure line safety; whipping restraint whip-checks; 50m exclusion zone during pressurization,Yes - Install pressure test warning tape
TBT-2025-024,2025-07-10,Nitrogen purge and asphyxiation hazards,K. Bhatt,CW-02,Spread A - CH 11+800,14,20,Oxygen depletion risks (<19.5% O2); confined space entry prohibition during purge; windward positioning,No
TBT-2025-025,2025-07-15,Working at height and scaffolding safety at PS-1,D. Craig,Civil Crew,PS-1 Compressor Building,16,20,100% tie-off above 1.8m; green scaftag verification; safety harnesses with dual shock-absorbing lanyards,Yes - Replace faded scaffold inspection tag on Bay 2
