Report_No,Date,Weld_No,Chainage,Spread,RT_Technique,Film_Density,Sensitivity_pct,Defect_Found,Defect_Type,Defect_Size_mm,Acceptance_Criteria,Result,Radiographer_ID,Comments
RT-2025-W27-001,2025-06-30,W-4A-0251,8+050,Spread A,DWSI Ir-192,2.35,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Full 360 deg circumferential exposure; sound weld per API 1104
RT-2025-W27-002,2025-06-30,W-4A-0252,8+100,Spread A,DWSI Ir-192,2.40,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Wire IQI 10 DIN visible; weld acceptable
RT-2025-W27-003,2025-06-30,W-4A-0253,8+120,Spread A,SWSI X-Ray,2.55,1.6%,Yes,Porosity,1.2,API 1104 Sec 9.3,Accept,RAD-02,Isolated pinhole pore in hot pass; within API 1104 Sec 9.3.2 allowable size
RT-2025-W27-004,2025-06-30,W-4A-0254,8+150,Spread A,DWSI Ir-192,2.30,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,No reportable indications; weld acceptable
RT-2025-W27-005,2025-06-30,W-4A-0257,8+220,Spread A,DWSI Ir-192,2.45,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Acceptable penetration and profile; no indications
RT-2025-W27-006,2025-06-30,W-4A-0258,8+250,Spread A,DWSI Ir-192,2.42,1.8%,Yes,Incomplete Fusion,8.5,API 1104 Sec 9.5,Reject,RAD-01,Lack of side-wall fusion at 4 o clock 8.5mm; exceeds API 1104 Sec 9.5 limit
RT-2025-W27-007,2025-06-30,W-4A-0260,8+300,Spread A,SWSI X-Ray,2.62,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Crawler X-ray panoramic shot; complete fusion and penetration
RT-2025-W27-008,2025-07-01,W-4B-0095,12+020,Spread B,DWSI Ir-192,2.28,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Backlog clearance shot; full circumference acceptable
RT-2025-W27-009,2025-07-01,W-4B-0096,12+050,Spread B,DWSI Ir-192,2.32,1.8%,Yes,Slag Inclusion,2.4,API 1104 Sec 9.6,Accept,RAD-01,Isolated slag inclusion 2.4mm; acceptable under API 1104 Sec 9.6 Table 2
RT-2025-W27-010,2025-07-01,W-4B-0098,12+100,Spread B,SWSI X-Ray,2.50,1.6%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-02,Good definition and contrast; weld accepted
RT-2025-W27-011,2025-07-01,W-4B-0100,12+150,Spread B,DWSI Ir-192,2.38,1.8%,No,None,0.0,API 1104 Sec 9.3,Accept,RAD-01,Weld clear of volumetric defects; accepted
