Weld_No,Date,Spread,Chainage,Welder_ID,Crew,Procedure,Joint_Type,NDT_Method,NDT_Result,Repair_Required,Status
W-4A-0261,2025-07-01,Spread A,8+150,WLD-101,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0262,2025-07-01,Spread A,8+300,WLD-104,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0263,2025-07-02,Spread A,8+450,WLD-107,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0264,2025-07-02,Spread A,8+600,WLD-108,CW-01,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4A-0265,2025-07-02,Spread A,8+720,WLD-111,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0266,2025-07-03,Spread A,8+850,WLD-112,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0267,2025-07-03,Spread A,8+950,WLD-114,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0268,2025-07-03,Spread A,9+020,WLD-115,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0269,2025-07-04,Spread A,9+100,WLD-117,CW-02,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0270,2025-07-04,Spread A,9+150,WLD-121,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0271,2025-07-07,Spread A,9+200,WLD-122,CW-01,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0272,2025-07-07,Spread A,9+250,WLD-123,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0273,2025-07-07,Spread A,9+300,WLD-124,CW-02,WPS-API1104-01,Butt,RT,Reject,Yes,Repair Pending
W-4A-0274,2025-07-08,Spread A,9+350,WLD-125,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0275,2025-07-08,Spread A,9+420,WLD-127,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0276,2025-07-08,Spread A,9+480,WLD-128,CW-01,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0277,2025-07-09,Spread A,9+520,WLD-129,CW-03,WPS-API1104-02,Butt,AUT,Accept,No,Accepted
W-4A-0278,2025-07-09,Spread A,9+580,WLD-131,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0279,2025-07-10,Spread A,9+640,WLD-105,CW-03,WPS-API1104-02,Butt,RT,Reject,Yes,Repair Pending
W-4A-0280,2025-07-10,Spread A,9+710,WLD-102,CW-01,WPS-API1104-01,Butt,AUT,Accept,No,Accepted
W-4A-0281,2025-07-12,Spread A,9+780,WLD-113,CW-01,WPS-API1104-02,Butt,AUT,Reject,Yes,Repair Pending
W-4A-0282,2025-07-12,Spread A,9+850,WLD-133,CW-02,WPS-API1104-01,Butt,RT,Accept,No,Accepted
W-4A-0283,2025-07-14,Spread A,9+910,WLD-134,CW-03,WPS-API1104-01,Butt,RT,Accept,No,Accepted
