DPR_No,Date,Contractor,Crew,Discipline,Spread,Chainage_From,Chainage_To,Quantity,Unit,Progress_Pct,Remarks,Reported_By
DPR-1001,2025-06-02,Delta Civil Co,CW-05,NDT,Spread B,20+500,20+700,29,joints,,Consumables shortage in morning shift,S. Menon
DPR-1002,2025-06-02,Ridgeline Constructors,CW-02,Stringing,Spread A,4+400,4+500,7,m,,Awaiting NDT clearance,R. Iyer
DPR-1003,2025-06-02,Delta Civil Co,CW-02,Civil,Spread A,5+800,5+200,14,m3,,Delayed 2h due to rain,S. Menon
DPR-1004,2025-06-02,Ridgeline Constructors,CW-04,NDT,Spread B,22+600,22+900,4,joints,,Normal shift,A. Fernandes
DPR-1005,2025-06-02,Apex Pipeline Services,CW-04,NDT,Spread B,21+800,21+600,17,joints,,Consumables shortage in morning shift,K. Bhatt
DPR-1006,2025-06-02,Ridgeline Constructors,CW-03,Bending,Spread A,0+600,0+700,30,joints,,Consumables shortage in morning shift,S. Menon
DPR-1111,2025-06-02,Apex Pipeline Services,CW-07,Welding,,,,8,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1128,2025-06-02,Apex Pipeline Services,CW-07,Welding,,,,17,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1133,2025-06-02,Apex Pipeline Services,CW-07,Welding,,,,6,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1139,2025-06-02,Apex Pipeline Services,CW-07,Welding,,,,7,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1150,2025-06-02,Apex Pipeline Services,CW-07,Welding,,,,9,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1007,2025-06-03,Ridgeline Constructors,CW-01,Stringing,Spread A,5+800,5+000,12,m,,Awaiting NDT clearance,K. Bhatt
DPR-1008,2025-06-03,Apex Pipeline Services,CW-02,Trenching,Spread A,3+900,3+500,12,m,,Delayed 2h due to rain,S. Menon
DPR-1009,2025-06-03,Ridgeline Constructors,CW-01,Coating,Spread A,0+800,0+800,6,joints,,Awaiting NDT clearance,K. Bhatt
DPR-1010,2025-06-03,Delta Civil Co,CW-02,Stringing,Spread A,5+300,5+300,19,m,,Consumables shortage in morning shift,R. Iyer
DPR-1011,2025-06-03,Delta Civil Co,CW-05,Welding,Spread B,19+800,19+100,4,joints,,Delayed 2h due to rain,A. Fernandes
DPR-1103,2025-06-03,Apex Pipeline Services,CW-07,Welding,,,,11,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1110,2025-06-03,Apex Pipeline Services,CW-07,Welding,,,,8,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1141,2025-06-03,Apex Pipeline Services,CW-07,Welding,,,,14,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1147,2025-06-03,Apex Pipeline Services,CW-07,Welding,,,,22,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1012,2025-06-04,Ridgeline Constructors,CW-02,Welding,Spread A,7+600,7+200,22,joints,,Awaiting NDT clearance,S. Menon
DPR-1013,2025-06-04,Apex Pipeline Services,CW-04,NDT,Spread B,14+500,14+900,21,joints,,Progress as planned,K. Bhatt
DPR-1014,2025-06-04,Delta Civil Co,CW-05,Trenching,Spread B,13+600,13+400,27,m,,Progress as planned,R. Iyer
DPR-1015,2025-06-04,Apex Pipeline Services,CW-04,Bending,Spread B,15+400,15+600,17,joints,,Consumables shortage in morning shift,A. Fernandes
DPR-1016,2025-06-04,Apex Pipeline Services,CW-05,Stringing,Spread B,15+800,15+600,12,m,,Normal shift,R. Iyer
DPR-1117,2025-06-04,Apex Pipeline Services,CW-07,Welding,,,,6,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1122,2025-06-04,Apex Pipeline Services,CW-07,Welding,,,,11,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1140,2025-06-04,Apex Pipeline Services,CW-07,Welding,,,,6,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1159,2025-06-04,Apex Pipeline Services,CW-07,Welding,,,,19,joints,,Shift output - spread not recorded on ticket,Automated ticket import
DPR-1017,2025-06-05,Apex Pipeline Services,CW-01,Civil,Spread A,5+400,5+600,23,m3,,Normal shift,S. Menon
DPR-1018,2025-06-05,Ridgeline Constructors,CW-03,Trenching,Spread A,8+300,8+000,27,m,,Progress as planned,S. Menon
DPR-1019,2025-06-05,Apex Pipeline Services,CW-04,Welding,Spread B,21+000,21+300,5,joints,,Consumables shortage in morning shift,K. Bhatt
