Item_No,Date_Raised,Area,Chainage,Discipline,Description,Priority,Assigned_To,Status,Target_Date,Completion_Date,Verified_By,Comments
PL-4A-001,2025-06-05,Spread A,0+450,Coating,Holiday detector pinhole spark recorded at field joint FJ-4A-012,A,Ridgeline Coating CW-04,Closed,2025-06-08,2025-06-07,K. Bhatt,Patch repair applied with Canusa melt stick and filler tape; re-sparked at 15kV pass
PL-4A-002,2025-06-06,Spread A,1+100,Welding,Undercut depth 0.8mm exceeding API 1104 allowance on cap pass weld W-4A-0034,A,Ridgeline Welding CW-01,Closed,2025-06-10,2025-06-09,K. Bhatt,Light grinding and capping pass repair completed; MT re-inspection accepted
PL-4A-003,2025-06-08,Spread A,1+200,Civil,Casing insulator spacer damaged on heavy wall pipe at Road Crossing 1,A,Delta Civil Co,Closed,2025-06-12,2025-06-11,S. Menon,Defective metallic casing centralizer replaced with HD polyethylene insulator spacer
PL-4A-004,2025-06-10,Spread A,1+850,Trenching,Trench side wall minor sloughing debris in trench bottom prior to lowering,B,Delta Civil Co,Closed,2025-06-13,2025-06-12,S. Menon,Loose clay lumps removed by hand labor; bottom bedding sand replenished 150mm
PL-4A-005,2025-06-11,Spread A,2+300,Coating,3LPE factory coating gouge depth 1.2mm on pipe joint SP-4A-1088,A,Ridgeline Coating CW-04,Closed,2025-06-15,2025-06-14,K. Bhatt,Two-part epoxy filler applied and polyolefin heat-shrink patch installed per spec
PL-4A-006,2025-06-12,Spread A,2+800,Civil,Trench crown settlement along backfilled sector CH 2+750 to 2+850,B,Delta Civil Co,In Progress,2025-07-05,,S. Menon,Backfill top-up and wheel compaction required; pending soil moisture reduction
PL-4A-007,2025-06-14,Spread A,3+150,Restoration,Temporary ROW silt fence breached by stormwater runoff,B,Delta Civil Co,Closed,2025-06-17,2025-06-16,S. Menon,Geotextile silt fence re-anchored with timber stakes and crushed stone check dams
PL-4A-008,2025-06-15,Spread A,3+450,Welding,Arc strike on parent pipe body 150mm from weld seam W-4A-0078,A,Ridgeline Welding CW-02,Closed,2025-06-18,2025-06-17,K. Bhatt,Arc strike ground flush per API 1104; wall thickness verified by UT (11.8mm); MT confirmed no cracks
PL-4A-009,2025-06-16,Spread A,4+100,CP,Sacrificial zinc ribbon connection test wire crimp loose in test box TP-03,B,Apex Pipeline Services,Closed,2025-06-20,2025-06-19,K. Bhatt,Crimped with heavy-duty copper compression sleeve and waterproof heat-shrink sealed
PL-4A-010,2025-06-18,Spread A,4+500,Civil,Pre-cast concrete pipeline marker post missing at Road Crossing 2,C,Delta Civil Co,Open,2025-07-15,,S. Menon,Marker post fabricated; awaiting completion of road verge final grading
PL-4A-011,2025-06-19,Spread A,4+900,Survey,As-built GPS centerline coordinate point deviating 450mm from IFC alignment sheet,B,Ridgeline Survey,Closed,2025-06-23,2025-06-22,R. Iyer,Survey re-shot with RTK GNSS; confirmed within 0.5m ROW easement tolerance; redline updated
PL-4A-012,2025-06-20,Spread A,5+200,NDT,Radiography film darkroom water spotting on joint W-4A-0112 requiring re-shot,B,Apex Pipeline Services,Closed,2025-06-23,2025-06-22,P. Verma,Re-radiographed with gamma crawler; film density 2.8 accepted per ASME Sec V
PL-4A-013,2025-06-21,Spread A,5+400,Welding,Grind-out repair pending on 6 porosity joints (NCR-2025-011),A,Ridgeline Welding CW-02,In Progress,2025-07-08,,K. Bhatt,Repair excavation executed on joints 1 to 4; preheat maintained 120C; RT scheduled
PL-4A-014,2025-06-22,Spread A,5+800,Civil,Rockshield protection missing over 45m section in fractured rock ditch,A,Delta Civil Co,In Progress,2025-07-06,,S. Menon,Rockshield mesh delivery staged at CH 5+500; crew assigned for strapping
PL-4A-015,2025-06-24,Spread A,6+250,Coating,Heat shrink sleeve overlap on factory 3LPE measured 42mm vs 50mm min required,B,Ridgeline Coating CW-04,Closed,2025-06-27,2025-06-26,M. Taylor,Supplementary 100mm wide heat-shrink closure band installed and heat bonded
PL-4A-016,2025-06-25,Spread A,6+800,Trenching,Trench soft padding thickness measured 90mm vs 150mm specified minimum,A,Delta Civil Co,Closed,2025-06-28,2025-06-27,S. Menon,Additional 60mm screened sand padding placed and leveled prior to lowering
PL-4A-017,2025-06-26,Spread A,7+300,Welding,Weld spatter adhering to 3LPE cutback adjacent to joint W-4A-0158,C,Ridgeline Welding CW-01,Closed,2025-06-29,2025-06-28,K. Bhatt,Spatter removed with bronze scraper; coating surface checked with holiday detector (no damage)
PL-4A-018,2025-06-27,Spread A,7+900,E&I,Test station junction box lid stainless steel hinge pin corroded/missing,C,Apex Pipeline Services,Open,2025-07-20,,K. Bhatt,Replacement 316SS hardware ordered from supplier
PL-4A-019,2025-06-28,River Crossing,8+400,HDD,Drilling fluid containment bund breached near river entry pit,A,Apex Pipeline Services,Closed,2025-07-01,2025-06-30,A. Fernandes,Earthen bund reconstructed and lined with 1.0mm HDPE geomembrane sheet
PL-4A-020,2025-06-29,River Crossing,8+420,Civil,Geotechnical core drilling drill-rig anchor pad unstable on riverbank,B,Delta Civil Co,Closed,2025-07-03,2025-07-02,A. Fernandes,Timber crane mats placed to stabilize rig setup for offset borehole sampling
PL-4A-021,2025-06-30,Spread A,8+900,Coating,Field joint holiday test report documentation missing inspector signature,C,Ridgeline QA,Closed,2025-07-03,2025-07-02,K. Bhatt,QA field records audited and co-signed by Client TPI inspector
PL-4A-022,2025-07-01,Spread A,9+400,Welding,Root bead internal suck-back / concavity on tie-in weld W-4A-0199,A,Ridgeline Welding CW-03,In Progress,2025-07-10,,K. Bhatt,Grind-out repair WPS-API1104-03 initiated; internal borescope visual inspection scheduled
PL-4A-023,2025-07-02,Spread A,9+800,Civil,Underground yellow warning tape installed at depth 300mm vs 500mm required,B,Delta Civil Co,Open,2025-07-12,,S. Menon,Excavation team instructed to lower warning tape during final backfill topping
