Repair_No,Original_Weld_No,Date_Identified,Defect_Type,Defect_Location,Repair_Procedure,Repair_Welder_ID,Repair_Date,Re_NDT_Method,Re_NDT_Result,Status,NCR_Ref,Comments
RPR-2025-001,W-4A-0080,2025-06-04,Root Porosity,Root pass 4:00-6:00,RPR-API1104-01,WLD-102,2025-06-14,RT,Accept,Closed,NCR-2025-011,Porosity cluster excavated by rotary burr; root re-welded under approved repair procedure; RT accepted in W28
RPR-2025-002,W-4A-0081,2025-06-04,Root Porosity,Root pass 11:00-1:00,RPR-API1104-01,WLD-102,2025-06-14,RT,Accept,Closed,NCR-2025-011,Root porosity ground back to sound metal; repaired with E6010 root / E8018 fill; re-radiography clear
RPR-2025-003,W-4A-0082,2025-06-04,Root Porosity,Root pass 5:30-7:00,RPR-API1104-01,WLD-105,2025-06-15,RT,Accept,Closed,NCR-2025-011,Defect cavity verified via PT prior to re-weld; repair completed and accepted per API 1104 Sec 9.3
RPR-2025-004,W-4A-0083,2025-06-05,Cluster Porosity,Root pass 2:00-4:00,RPR-API1104-01,WLD-105,2025-06-15,RT,Accept,Closed,NCR-2025-011,Excavation depth 5.2mm; re-weld accepted per API 1104 radiographic acceptance criteria
RPR-2025-005,W-4A-0084,2025-06-05,Root Porosity,Root pass 6:00-8:00,RPR-API1104-01,WLD-111,2025-06-16,RT,Accept,Closed,NCR-2025-011,Pores removed with carbide grinder; welded and re-radiographed with acceptable film density 2.43
RPR-2025-006,W-4A-0085,2025-06-05,Cluster Porosity,Root pass 3:00-5:30,RPR-API1104-01,WLD-111,2025-06-16,RT,Accept,Closed,NCR-2025-011,Final weld of NCR-2025-011 batch repaired; re-RT confirmed clear; QA disposition closed
RPR-2025-007,W-4A-0018,2025-06-20,Incomplete Fusion,Hot pass 8:00-10:00,RPR-API1104-02,WLD-120,2025-06-25,RT,Accept,Closed,-,Side wall lack of fusion ground out and re-filled using FCAW repair procedure; re-RT pass
RPR-2025-008,W-4A-0021,2025-06-17,Slag Inclusion,Fill pass 1:00-3:00,RPR-API1104-01,WLD-125,2025-06-22,RT,Accept,Closed,-,Slag line gouged out and repaired with SMAW; re-inspection clear
RPR-2025-009,W-4A-0070,2025-06-14,Porosity,Cap pass 11:30-1:00,RPR-API1104-01,WLD-102,2025-06-19,RT,Accept,Closed,-,Surface cap porosity ground flush and re-capped; film density 2.45 acceptable
RPR-2025-010,W-4A-0092,2025-06-02,Root Crack,Root pass 6:00 (15mm),WPS-API1104-01,WLD-111,2025-06-08,RT,Accept,Closed,NCR-2025-009,Crack repaired via full cut-out and re-weld of joint as required by spec; new weld accepted
RPR-2025-011,W-4B-0161,2025-06-23,Slag Inclusion,Fill pass 4:00-5:30,RPR-API1104-01,WLD-133,2025-06-28,RT,Accept,Closed,-,Isolated slag pocket excavated and repaired; re-RT passed
RPR-2025-012,W-4B-0256,2025-06-09,Lack of Penetration,Root pass 5:00-7:00,RPR-API1104-02,WLD-120,2025-06-15,RT,Accept,Closed,-,Internal back-gouging and re-weld performed; re-radiography accepted per API 1104 Sec 9.4
RPR-2025-013,W-4A-0258,2025-07-01,Incomplete Fusion,Bevel face 4:00-5:00,RPR-API1104-01,WLD-102,2025-07-04,RT,Accept,Closed,-,Lack of fusion excavated and repaired under W27 RT finding; re-RT clear in W28 (RT-2025-W28-003)
RPR-2025-014,W-4A-0264,2025-07-03,Slag Inclusion,Root pass 2:00-3:30,RPR-API1104-01,WLD-105,2025-07-06,RT,Accept,Closed,-,Slag inclusion removed by grinder; re-welded and passed re-RT in W28 (RT-2025-W28-015)
RPR-2025-015,W-4B-0106,2025-07-04,Cluster Porosity,Root pass 7:00-9:00,RPR-API1104-01,WLD-125,2025-07-08,RT,Accept,Closed,-,Root cluster ground and re-welded; re-radiography by Crew 2 accepted (RT-2025-W28-027)
RPR-2025-016,W-4A-0273,2025-07-08,Incomplete Fusion,Bevel face 2:00-3:00,RPR-API1104-02,WLD-120,2025-07-11,RT,Accept,Closed,-,FCAW repair executed; re-RT acceptable per API 1104 clause 9.5 (RT-2025-W28-035)
RPR-2025-017,W-4B-0118,2025-07-11,Slag Inclusion,Hot pass 6:00-7:30,RPR-API1104-01,WLD-133,2025-07-14,RT,Pending,Repair Complete - Pending NDT,-,Repair completed by CW-05 repair welder; scheduled for RT shot on next night shift
RPR-2025-018,W-4A-0281,2025-07-13,Lack of Side Fusion,Fill pass 9:00-11:00,RPR-API1104-02,WLD-102,2025-07-16,AUT,Pending,In Progress,-,Repair excavation complete and verified with MT; pre-heat and re-welding in progress
